,job,job_link,company,company_link
101,Scanning/DataEntry & File Management Operator,https://www.jobsnepal.com/job/scanning-dataentry-file-management-operator/115505,Nyatapol Technologies Pvt Ltd,https://www.jobsnepal.com/employer/nyatapol-technologies-pvt-ltd/4698
102,Network Administrator,https://www.jobsnepal.com/job/network-administrator/115504,GEMS School,https://www.jobsnepal.com/employer/gems-school/8398
103,Recruitment Specialist,https://www.jobsnepal.com/job/recruitment-specialist/115503,HLE Nepal,https://www.jobsnepal.com/employer/hle-nepal/11452
104,Loan Processing Specialist,https://www.jobsnepal.com/job/loan-processing-specialist/115502,HLE Nepal,https://www.jobsnepal.com/employer/hle-nepal/11452
105,HR Assistant,https://www.jobsnepal.com/job/hr-assistant/115501,HLE Nepal,https://www.jobsnepal.com/employer/hle-nepal/11452
106,Business Analyst,https://www.jobsnepal.com/job/business-analyst/115500,HLE Nepal,https://www.jobsnepal.com/employer/hle-nepal/11452
107,Assistant - Ticketing Executive,https://www.jobsnepal.com/job/assistant-ticketing-executive/115497,Dharma Adventures,https://www.jobsnepal.com/employer/dharma-adventures/1141
108,QA Engineer,https://www.jobsnepal.com/job/qa-engineer/115496,F1Soft International Pvt Ltd.,https://www.jobsnepal.com/employer/f1soft-international-pvt-ltd/7866
109,Associate QA Engineer,https://www.jobsnepal.com/job/associate-qa-engineer/115495,F1Soft International Pvt Ltd.,https://www.jobsnepal.com/employer/f1soft-international-pvt-ltd/7866
110,Laravel Developer Trainee,https://www.jobsnepal.com/job/laravel-developer-trainee/115493,Build Change,https://www.jobsnepal.com/employer/build-change/9055
111,WordPress Developer,https://www.jobsnepal.com/job/wordpress-developer/115491,Tekkon Technologies,https://www.jobsnepal.com/employer/tekkon-technologies/10859
112,Program Associate,https://www.jobsnepal.com/job/program-associate/115485,Think Aloud,https://www.jobsnepal.com/employer/think-aloud/11617
113,Marketing Executives,https://www.jobsnepal.com/job/marketing-executives/115482,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
114,Account Officer,https://www.jobsnepal.com/job/account-officer/115478,JobsNepal.com Direct Recruitment Service,https://www.jobsnepal.com/employer/jobsnepal-com-direct-recruitment-service/355
115,Marketing Officer,https://www.jobsnepal.com/job/marketing-officer/115476,Cherry World Communication Pvt Ltd,https://www.jobsnepal.com/employer/cherry-world-communication-pvt-ltd/11662
116,Software Engineer (Dot Net Core) Senior /  Junior,https://www.jobsnepal.com/job/software-engineer-dot-net-core-senior-junior/115475,Help Inc,https://www.jobsnepal.com/employer/help-inc/11503
117,Software Quality Analyst,https://www.jobsnepal.com/job/software-quality-analyst/115469,Tekvortex Pvt. Ltd.,https://www.jobsnepal.com/employer/tekvortex-pvt-ltd/7600
118,ASP.Net Core Developer,https://www.jobsnepal.com/job/asp-net-core-developer/115465,UBA Solutions Pvt. Ltd.,https://www.jobsnepal.com/employer/uba-solutions-pvt-ltd/2630
119,Software Engineering,https://www.jobsnepal.com/job/software-engineering/115463,Ambarkaar Software Pvt. Ltd.,https://www.jobsnepal.com/employer/ambarkaar-software-pvt-ltd/9372
120,Team Lead - Senior .Net Developer,https://www.jobsnepal.com/job/team-lead-senior-net-developer/115462,Verisk Nepal Pvt. Ltd.,https://www.jobsnepal.com/employer/verisk-nepal-pvt-ltd/9531
121,Mid Level Java Developer,https://www.jobsnepal.com/job/mid-level-java-developer/115461,Verisk Nepal Pvt. Ltd.,https://www.jobsnepal.com/employer/verisk-nepal-pvt-ltd/9531
122,UX/UI Designer,https://www.jobsnepal.com/job/ux-ui-designer/115458,NAXA,https://www.jobsnepal.com/employer/naxa/9898
123,UI/UX Designer,https://www.jobsnepal.com/job/ui-ux-designer/115456,LIS Nepal Pvt. Ltd. (Sister Concern of Yomari Group of Companies),https://www.jobsnepal.com/employer/lis-nepal-pvt-ltd-sister-concern-of-yomari-group-of-companies/8922
124,Architect/Civil Engineer,https://www.jobsnepal.com/job/architect-civil-engineer/115455,ND engineering Consultancy Pvt. Ltd.,https://www.jobsnepal.com/employer/nd-engineering-consultancy-pvt-ltd/10719
125,Software QA Expert,https://www.jobsnepal.com/job/software-qa-expert/115453,Shangrila Microsystem Pvt.Ltd.,https://www.jobsnepal.com/employer/shangrila-microsystem-pvt-ltd/5206
126,System/Network Support Engineer,https://www.jobsnepal.com/job/system-network-support-engineer/115451,Shangrila Microsystem Pvt.Ltd.,https://www.jobsnepal.com/employer/shangrila-microsystem-pvt-ltd/5206
127,iOSDeveloper,https://www.jobsnepal.com/job/iosdeveloper/115447,Shiran Technologies,https://www.jobsnepal.com/employer/shiran-technologies/7662
128,UI/UX Designer,https://www.jobsnepal.com/job/ui-ux-designer/115445,Shangrila Microsystem Pvt.Ltd.,https://www.jobsnepal.com/employer/shangrila-microsystem-pvt-ltd/5206
129,Mid J2EE / Java Developer,https://www.jobsnepal.com/job/mid-j2ee-java-developer/115441,IGC Technology Pvt. Ltd.,https://www.jobsnepal.com/employer/igc-technology-pvt-ltd/11052
